Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:00:59.661169,20:01:02.211492,-1,-1.0
1,20:00:59.661169,20:01:05.233825,1,-1.0
1,20:00:59.661169,20:01:06.270359,-1,-1.0
1,20:00:59.661169,20:01:07.251672,-1,-1.0
1,20:00:59.661169,20:01:08.524926,1,-1.0
1,20:00:59.661169,20:01:09.393245,1,-1.0
1,20:00:59.661169,20:01:13.432343,-1,-1.0
1,20:00:59.661169,20:01:15.067730,-1,-1.0
1,20:00:59.661169,20:01:38.863257,-1,-1.0
1,20:00:59.661169,20:01:39.747641,1,-1.0
1,20:00:59.661169,20:01:41.044706,1,-1.0
1,20:00:59.661169,20:01:42.291289,1,-1.0
1,20:00:59.661169,20:01:43.607802,1,-1.0
1,20:00:59.661169,20:01:45.778749,1,-1.0
1,20:00:59.661169,20:01:48.393579,1,-1.0
1,20:00:59.661169,20:01:49.911275,-1,-1.0
1,20:00:59.661169,20:01:51.612035,1,-1.0
1,20:00:59.661169,20:01:53.061891,-1,-1.0
1,20:00:59.661169,20:01:54.808689,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
